id,vocabulary_id,term,hateful_meaning,nonhateful_meaning,is_unambiguous,is_unambiguous_in,average_offensiveness,language,plural_of,variant_of,transliteration_of,is_about_nationality,is_about_ethnicity,is_about_religion,is_about_gender,is_about_sexual_orientation,is_about_disability,is_about_class,number_of_sightings,number_of_sightings_this_year,number_of_sightings_this_month,created_on,updated_on
79,AfUHKcKtu,jewtarded,The combination of 'jew' and 'retarded',,TRUE,,98,eng,,jewtard,,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,2,0,0,11/1/2018 20:35,10/30/2019 19:22
80,7e7d4zV6R,jigaboo,"A black person. Jiggaboo or jigabo is from a Bantu verb tshikabo, meaning meek or servile.",,TRUE,,99,eng,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2826,189,14,6/22/2013 0:12,10/30/2019 19:22
81,m3hnwsCjb,jewtard,The combination of 'jew' and 'retard',,TRUE,,99,eng,,,,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,26,2,0,11/1/2018 19:42,10/30/2019 18:19
179,AfUHKcKtu,jewtarded,The combination of 'jew' and 'retarded',,TRUE,,98,eng,,jewtard,,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,2,0,0,11/1/2018 20:35,10/30/2019 19:22
180,7e7d4zV6R,jigaboo,"A black person. Jiggaboo or jigabo is from a Bantu verb tshikabo, meaning meek or servile.",,TRUE,,99,eng,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2826,189,14,6/22/2013 0:12,10/30/2019 19:22
181,m3hnwsCjb,jewtard,The combination of 'jew' and 'retard',,TRUE,,99,eng,,,,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,26,2,0,11/1/2018 19:42,10/30/2019 18:19
235,qWheZhmUE,krauts,"A German, most specifically during World War II. From Sauerkraut.",,TRUE,,50,eng,kraut,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1075,119,19,11/1/2018 20:35,10/24/2019 15:43
252,bWgz9jJed,niggers,A black person.,,TRUE,,100,eng,nigger,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2059,209,30,11/1/2018 20:36,10/18/2019 17:26
253,3wfWp8aQB,nigger,A black person.,,TRUE,,100,eng,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4697,175,21,4/2/2013 4:00,10/18/2019 17:26
268,FZLzRqPbD,nigger-rig,To poorly repair or assemble something,,TRUE,,98,eng,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,16,2,0,11/1/2018 19:42,5/10/2019 18:57
367,XfyXhcwTY,durka durkas,,,TRUE,,,eng,durka durka,derka derka,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,28,2,0,2/28/2019 19:52,3/1/2019 21:03
368,AYsdMFEPc,durka durka,,,TRUE,,,eng,,derka derka,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,76,10,0,2/28/2019 19:52,3/1/2019 21:03
369,XTqrx9beD,derka derkas,,,TRUE,,,eng,derka derka,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,6,0,0,2/28/2019 19:51,3/1/2019 21:02
374,rTiXRYQED,closet dykes,,,TRUE,,,eng,closet dyke,closet fag,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,22,1,0,2/28/2019 19:39,3/1/2019 20:59
375,uWzcbfz7a,closet dyke,,,TRUE,,50,eng,,closet fag,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,68,3,0,2/28/2019 19:39,3/1/2019 20:59
376,JUpgYbNiw,black dagoes,,,TRUE,,,eng,black dago,black dagos,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,2/28/2019 19:18,3/1/2019 20:58
377,qc6VTyKxJ,border baby,,,TRUE,,,eng,,anchor baby,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,39,5,1,2/28/2019 19:21,3/1/2019 20:58
378,ND9gokkqL,border babies,,,TRUE,,,eng,border baby,anchor baby,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,19,4,0,2/28/2019 19:22,3/1/2019 20:57
435,vsnYRahpZ,pickinninys,,,TRUE,,,eng,pickinniny,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,1/9/2019 19:01,1/9/2019 19:01
436,RJWjxxNtL,piccaninnys,,,TRUE,,,eng,piccaninny,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10,0,0,1/9/2019 18:59,1/9/2019 18:59
437,xUMRLtwiv,piccaninnies,,,TRUE,,,eng,piccaninny,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,279,29,1,1/9/2019 18:59,1/9/2019 18:59
438,qfapWDnww,picaninnys,,,TRUE,,100,eng,,picaninnies,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8,1,0,1/9/2019 18:57,1/9/2019 18:57
439,oDwcfmbdk,pickaninnies,,,TRUE,,100,eng,,pickaninnys,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,611,42,3,1/9/2019 18:55,1/9/2019 18:56
440,EntJtHM6F,pickinninies,,,TRUE,,,eng,pickinniny,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,22,0,0,1/9/2019 18:54,1/9/2019 18:54
441,isCycKTmX,pickinniny,,,TRUE,,,eng,,picaninny,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8,1,0,1/9/2019 18:53,1/9/2019 18:53
442,KGhbbRVqZ,piccaninny,,,TRUE,,,eng,,picaninny,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,278,19,3,1/9/2019 18:52,1/9/2019 18:52
443,BUZsxDtj7,picaninnies,,,TRUE,,,eng,pickaninny,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,415,18,0,1/9/2019 18:51,1/9/2019 18:52
444,yVvMWnYnL,picaninny,A black child,,TRUE,,,eng,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,446,42,3,1/9/2019 18:50,1/9/2019 18:50
456,9f6AxHr39,smoke jumper,A Caucasian woman who dates a black man.,,TRUE,,81,eng,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,676,26,9,6/23/2013 6:40,1/9/2019 18:10
474,xpXPgvbQc,niggerdick,"The penis of a man of African descent, or a person with a large penis; likely popularized online for shock value",,TRUE,,,eng,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,43,2,0,1/7/2019 18:16,1/9/2019 16:28
